,pred:Jan Jacob Mauricius,pred:Jacob Cats,"pred:Anthonis de Hubert, Antonis de Hubert",pred:Betje Wolff en Aagje Deken,pred:David Joris,"pred:A.J. Dekker, Ernst Heins, Marie van Dijk, Henk Kuijer",pred:Gillis Jacobsz. Quintijn,pred:Jan van Eijk,pred:F. Pitton,pred:Jodocus van Lodenstein,pred:Abraham de Koning,pred:Joannes van Sambeeck,pred:H. van Vijfderley,pred:Philippus van Sorgen,pred:A.C. Alberts,"pred:Louis Sette, Hinderick Ryeland",pred:Isaak A. van Vaerlen en Jan Jansz. van Asten,pred:Jan Pieter Heije,pred:Hans de Ries,pred:Herman Ockes,pred:Willem Schellinger,pred:Willem Sluiter,pred:Volkerus van Oosterwyck,pred:Tannetge Kornelis Blok,pred:Jan van Hoogstraten,pred:Nicolaes Janssens,pred:Jan van der Veen,pred:Hieronymus van Alphen,"pred:Pieter IJsbrand van der Hof, C. Groenveld, C.G. Kleyn",pred:J.H. Pos,pred:Karel van Mander,pred:Joannes Cloeck,pred:Daniel Joncktys,pred:Joannes Six van Chandelier,pred:Jacob van Lennep,pred:Jacob Janszoon Colevelt,pred:Arnoldus Cobbault,pred:Henricus Costerius,pred:Claas Ganglofs,"pred:B. Targier, Anthony Jansen",pred:Johan Beets,"pred:Adriaan Loosjes, Jan van Walré",pred:Guillaume Abrahams Ooijevaer,pred:E.J. Boneschanscher,"pred:J. Veldkamp en K. de Boer, J. Veldkamp, K. de Boer",pred:Jacob Coenraetsz Mayvogel,pred:Roelant de Kater,"pred:Karel van Mander, samensteller Karel van Mander",pred:Gerrit Hendricksz. van Breughel,"pred:Jacob Janszoon Colevelt, A. Pietersz. Craen, Matthijs van Velden, Jan Robbertsz","pred:Joachim Oudaen, Dirk Rafaelsz. Camphuysen",pred:Aegidius Haeffacker,pred:Johan van Born,pred:Willem de Swaen,pred:Pieter Datheen,pred:Pieter Sterlincx,pred:Js. M. Pfeil,pred:Joannes Vollenhove,pred:Cornelis Maertsz.,pred:Hermanus van den Burg,pred:Samuel Ampzing,pred:J. Sent,pred:Peeter de Vleeschoudere,pred:Jan Mommaert,pred:Anthony Jansen,pred:Joan Ysermans,pred:Gijsbertus van Sandwijk,pred:D. Porcelijn,pred:Guilelmus van der Borcht,pred:Carolus Tuinman,pred:Hieronymus Sweerts,pred:Joannes de Lixbona,pred:Hendrik van Tichelen,pred:Johannes d' Outrein,pred:Peter de Beer,pred:Haerlem Soetendal,pred:Johan van Heemskerck,pred:Dirk de Vries,pred:Johannes Hazeu Cornelisz. en Dirk van der Reijden,pred:Hagen,pred:Joseph van Dieden,pred:G.A. Bredero,pred:Johannes Wilhelmus Bussingh,pred:Jacob Westerbaen,pred:Cornelis de Bie,pred:Cornelis Stribeé,pred:Thomas Fonteyn,pred:Herman Harts,pred:C.P. van Wesbusch,pred:Jacobus Revius,pred:Jan Jansz. Deutel,pred:Lucas van Mechelen,pred:Pieter Elsevier,"pred:A.J. Dekker, Marie van Dijk",pred:Franciscus de Laat,pred:Adriaan Loosjes Pzn.,pred:Pieter Cauwe,pred:Wolterus ter Burgh,pred:Wouter Robbertz,pred:Jacob Groenewegen,pred:Jakobus Rosseau,pred:Daniel Bellemans,"pred:Petrus Suetmans, Eustachius de Meyer",pred:Cornelis van Eeke,pred:Jan van Westerhoven,pred:M. van de Speybroek,pred:Hendrik Uilenbroek,pred:Aernout van Overbeke,pred:Boudewijn Jansen Wellens,pred:Philippus Jongheryx,pred:Frank A. Metaal,pred:C. Rhijnenburgh,pred:Joos Verschuere Reynvaan,pred:Hendrik Jacobz. Soetenboom,pred:Pieter de Vos,pred:Dirk Rafaelsz. Camphuysen,pred:Guilielmus Bolognino,pred:A. de R. en J.G.,pred:Leenaert Clock,pred:Simon Jansz Fortuyn,pred:Gerrit Manheer,pred:Frans vander Straten de jongere,pred:Andries Pels,pred:Jan Utenhove,pred:J.H.C. Venman,pred:E. Pels de Jonge,pred:Jan Jansz. Starter,pred:Katharina Wilhelmina Bilderdijk-Schweickhardt,pred:Joan Blasius,"pred:R.J. de Nerée, P.C. Hooft, C.G. Plemp",pred:Matthijs de Castelein,pred:J.F. Willems,pred:Franciscus Ridderus,pred:Daniël Heinsius,pred:Joannes van Dyck,pred:Gysbert Japicx,pred:Tjaert Sonnema,pred:Albertus Ignatius d'Hanins,pred:Petrus Verburg,pred:Wiete Ringers,pred:Rumoldus Batavus,pred:D.V. Coornhert,pred:Michiel Vlack,pred:Jacob Rosant,pred:Pieter van Gelre,pred:Justus de Harduwijn,pred:Jacob Steendam,pred:Jan Thieullier,pred:Marijn de Brauwer,pred:Frans de Cort,pred:Livinus van der Minnen,pred:Jan Gerritse Wondergem,pred:Dirk ter Woort,pred:Joanna Crajenschot,pred:Bernardus Busschoff,pred:Samuel Coster,pred:Gaudentius van Loemel,pred:Pieter Brughman,pred:F. Verloo,pred:J. Smeerbol,"pred:Antoine Mahaut, Kornelis Elzevier",pred:Lucas de Heere,pred:Louis van Neste,"pred:Jan Steven van Esveldt Holtrop, Willem Holtrop",pred:Claes Stapel,pred:Joannes Mys,pred:Joost van den Vondel en Johan van Heemskerck (etc.),pred:Matthijs van der Merwede,pred:Jacob Brouwer,pred:C. J. Wits,pred:Mattheus Gargon,pred:J.Z. Baron,pred:Pieter Dubbels,pred:Joris Wybo,pred:Aagje Deken en Klaas van der Horst,pred:Jan Jansz. Orlers,pred:W.J. van Zeggelen,pred:Aeneas Mackay,pred:Hugo de Groot,pred:Johan Deknatel,pred:Barent Pietersz. Kompas,pred:Lambert de Visscher,pred:Pieter Cornelisz. van der Morsch,pred:Johan Fruytiers,pred:Simon Abramsz.,pred:David Montanus,pred:Pieter Nootmans,pred:Christianus Vermeulen,pred:Jan Zoet,pred:Joannes Stalpaert van der Wiele,pred:Hendrick Jansz. Prins,pred:Leonardus Gouwerak,"pred:Hendrik Lussing, Matthijsz.",pred:Rutger Schutte,pred:Joost van den Vondel,pred:Johanna de Gavre,pred:Philips van Marnix,pred:Cornelis de Leeuw,pred:Arnold Bon,pred:Philippus Jennyn,pred:François Foret,pred:Reynier Rooleeuw,pred:Willem van Geldof,pred:Jacob Claesz,pred:Dirck Pietersz Pers,pred:Pieter Vreede,pred:Pieter de Bisschop,pred:Albertus Buitendyck,pred:Pieter Lenaerts van der Goes,pred:Joannes Kannewet,pred:François Halma,pred:Alle Dercks,pred:Christianus de Placker,pred:Johannes Stichter,pred:Daniël Willink,pred:J. Jacobsz. Harlingen,pred:J. Vriend,pred:Hendrik van Boxtel,pred:Soetken Gerijts,pred:Godfried Bussé,pred:P.A. Dreyer,pred:Jan Luyken,pred:Abdias Velingius,"pred:Willem Dirckszoon Hooft, Jan Jansz. Starter, Jacob Westerbaen",pred:Hendrik Riemsnijder,pred:Joseph Sadones,pred:J. Tradel,pred:Hendrik Rintjes,pred:Jacobus Viverius,pred:Pieter Christiaenszoon Bor,pred:Govert van Mater,pred:J.W. Lustig,pred:Femme Gerbrantsz Drieduym,pred:Cornelis Sweerts,pred:Anonymous,pred:Augustinus van Teylingen,pred:Zacharias Heyns,pred:Jacobus de Ruyter,pred:Jan van Gijsen
true:Jan Jacob Mauricius,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
true:Jacob Cats,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"true:Anthonis de Hubert, Antonis de Hubert",0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
true:Betje Wolff en Aagje Deken,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
true:David Joris,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"true:A.J. Dekker, Ernst Heins, Marie van Dijk, Henk Kuijer",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
true:Gillis Jacobsz. Quintijn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
true:Jan van Eijk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
true:F. Pitton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
true:Jodocus van Lodenstein,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
