,Song,Album Debut,Songwriter(s),Lead Vocal(s),Year,Lyrics
1,"""Across the Universe""",Let It Be,Lennon,Lennon,1968,"Words are flowing out like endless rain into a paper cup, They slither while they pass, they slip away across the universe. Pools of sorrow, waves of joy are drifting through my opened mind, Possessing and caressing me. Jai Guru Deva Om Nothing's gonna change my world, Nothing's gonna change my world. Nothing's gonna change my world, Nothing's gonna change my world. Images of broken light which dance before me like a million eyes, They call me on and on across the universe. Thoughts meander like a restless wind inside a letter box, They tumble blindly as they make their way across the universe. Jai Guru Deva Om Nothing's gonna change my world, Nothing's gonna change my world. Nothing's gonna change my world, Nothing's gonna change my world. Sounds of laughter, shades of earth are ringing Through my open ears inciting and inviting me. Limitless, undying love, which shines around me like a million suns, And calls me on and on across the universe. Jai Guru Deva Om Nothing's gonna change my world, Nothing's gonna change my world. Nothing's gonna change my world, Nothing's gonna change my world. Jai Guru Deva Jai Guru Deva Jai Guru Deva..."
2,"""All I've Got to Do""","UK: With the Beatles
 US: Meet the Beatles!",Lennon,Lennon,1963,"Whenever I want you around yeh  All I gotta do  Is call you on the phone  And you'll come running home  Yeh that's all I gotta do And when I, I want to kiss you yeh  All I gotta do  Is whisper in your ear  The words you want to hear  And I'll be kissing you And the same goes for me  Whenever you want me at all  I'll be here yes I will  Whenever you can  You just gotta call on me, yeh  You just gotta call on me And when I, I want to kiss you, yeh  All I got to do  Is call you on the phone  And you'll come running how  Yeh, that's all I gotta do And the same goes for me  Whenever you want me at all  I'll be here yes I will  Whenever you can  You just gotta call on me, yeh  You just gotta call on me  Oh, you just gotta call on me  Ooh, ooh"
3,"""All My Loving""","UK: With the Beatles
 US: Meet the Beatles!",McCartney,McCartney,1963,"Close your eyes and I'll kiss you Tomorrow I'll miss you Remember I'll always be true And then while I'm away I'll write home every day And I'll send all my loving to you I'll pretend that I'm kissing The lips I am missing And hope that my dreams will come true And then while I'm away I'll write home every day And I'll send all my loving to you All my loving, I will send to you All my loving, darling I'll be true Close your eyes and I'll kiss you Tomorrow I'll miss you Remember I'll always be true And then while I'm away I'll write home every day And I'll send all my loving to you All my loving, I will send to you All my loving, darling I'll be true All my loving, all my loving Woo, all my loving, I will send to you"
5,"""All Together Now""",Yellow Submarine,Lennon-McCartney,McCartney,1967,One two three four Can I have a little more Five six seven eight nine ten I love you A B C D Can I bring my friend to tea E F G H I J I love you Bom bom bom bompa bom Sail the ship Bompa bom Chop the tree bompa bom Skip the rope bompa bom Look at me All together now All together now All together now All together now All together now All together now All together now All together now Black white green red Can I take my friend to bed Pink brown yellow orange and blue I love you All together now All together now All together now All together now All together now All together now All together now All together now All together now All together now All together now All together now All together now All together now All together now All together now Bom bom bom bompa bom Sail the ship Bompa bom Chop the tree bompa bom Skip the rope bompa bom Look at me All together now All together now All together now All together now All together now All together now All together now All together now All together now All together now All together now All together now All together now All together now All together now All together now
6,"""All You Need Is Love""",Magical Mystery Tour,Lennon,Lennon,1967,"Love, love, love Love, love, love Love, love, love There's nothing you can do that can't be done Nothing you can sing that can't be sung Nothing you can say, but you can learn how to play the game It's easy Nothing you can make that can't be made No one you can save that can't be saved Nothing you can do, but you can learn how to be you in time It's easy All you need is love, all you need is love All you need is love, love, love is all you need All you need is love All you need is love, love, love is all you need There's nothing you can know that isn't known Nothing you can see that isn't shown There's nowhere you can be that isn't where you're meant to be It's easy All you need is love, all you need is love All you need is love, love, love is all you need All you need is love (All together now) All you need is love (Everybody) All you need is love, love, love is all you need Love is all you need Love is all you need Love is all you need Love is all you need Love is all you need Love is all you need Love is all you need Love is all you need Love is all you need Love is all you need Love is all you need Yesterday Oh yeah (She love you, yeah, yeah, yeah) (She love you, yeah, yeah, yeah)"
7,"""And I Love Her""","UK: A Hard Day's Night
 US: Something New",Lennon-McCartney,McCartney,1964,I give her all my love That's all I do And if you saw my love You'd love her too I love her She gives my everything And tenderly The kiss my lover brings She brings to me And I love her A love like ours Could never die As long as I Have you near me Bright are the stars that shine Dark is the sky I know this love of mine Will never die And I love her Bright are the stars that shine Dark is the sky I know this love of mine Will never die And I love her
8,"""And Your Bird Can Sing""","UK: Revolver
 US: Yesterday and Today",Lennon-McCartney,Lennon,1966,"You tell me that you've got everything you want And your bird can sing But you don't get me, you don't get me You say you've seen seven wonders and your bird is green But you can't see me, you can't see me When your prized possessions start to weigh you down Look in my direction, I'll be round, I'll be round When your bird is broken, will it bring you down? You may be awoken, I'll be round, I'll be round You tell me that you've heard every sound there is And your bird can swing But you can't hear me, you can't hear me"
9,"""Another Girl""",Help!,McCartney,McCartney,1965,"For I have got another girl, another girl You're making me say that I've got nobody but you But as from today well I've got somebody that's new I ain't no fool and I don't take what I don't want For I have got another girl, another girl She's sweeter than all the girls and I've met quite a few Nobody in all the world can do what she can do And so I'm telling you this time you'd better stop For I have got another girl Another girl who will love me till the end Through thick and thin she will always be my friend I don't want to say that I've been unhappy with you But as from today, well I've seen somebody that's new I ain't no fool and I don't take what I don't want For I have got another girl Another girl who will love me till the end Through thick and thin she will always be my friend For I have got another girl Another girl who will love me till the end Through thick and thin she will always be my friend For I have got another girl"
10,"""Any Time at All""","UK: A Hard Day's Night
 US: Something New",Lennon-McCartney,Lennon,1964,"Any time at all, any time at all, any time at all, all You've gotta do is call and I'll be there. If you need somebody to love, just look into my eyes, I'll Be there to make you feel right. If you're feeling sorry and sad, I'd really sympathize. Don't you be sad, just call me tonight. Any time at all, any time at all, any time at all , all You've gotta do is call and I'll be there. If the sun has faded away, I'll try to make it shine, There's nothing I won't do If you need a shoulder to cry on I hope it will be mine. Call me tonight, and I'll come to you. Any time at all, any time at all, any time at all , all You've gotta do is call and I'll be there. Any time at all, all you've gotta do is call and I'll be there."
11,"""Ask Me Why""","UK: Please Please Me
 US: The Early Beatles",Lennon-McCartney,Lennon,1963,"I love you, 'cause you tell me things I want to know. And it's true that it really only goes to show, That I know, That I, I, I, I should never, never, never be blue. Now you're mine, my happiness still makes me cry. And in time, you'll understand the reason why, If I cry, It's not because I'm sad, but you're the only love that I've ever had. I can't believe it's happened to me I can't conceive of any more misery. Ask me why, I'll say I love you, And I'm always thinking of you. I love you, 'cause you tell me things I want to know. And it's true that it really only goes to show, That I know, That I, I, I, I should never, never, never be blue. Ask me why, I'll say I love you, And I'm always thinking of you. I can't believe it's happened to me. I can't conceive of any more misery. Ask me why, I'll say I love you, And I'm always thinking of you."
