guessed,id,cert,true,notes
fr,185448.xml,0.0797518715262413,la,
da,179963.xml,0.09418972581624985,nl,
en,158500.xml,0.1299443244934082,nl,
fy,40762.xml,0.139603391289711,nl,
nl,40733.xml,0.14344565570354462,nl,
en,40779.xml,0.1449565291404724,nl,
de,24562.xml,0.1465541273355484,nl,
nl,40732.xml,0.15097981691360474,nl,
en,40714.xml,0.15147119760513306,nl,
nl,40710.xml,0.1591830998659134,nl,
fy,40778.xml,0.16238948702812195,nl,
nl,40743.xml,0.16350789368152618,nl,
nl,40784.xml,0.1646978259086609,nl,
la,188374.xml,0.16510538756847382,la,
de,8949.xml,0.17031463980674744,nl,et un peu de latin
en,192635.xml,0.17080220580101013,nl,
nl,40790.xml,0.17745408415794373,nl,
nl,23569.xml,0.1775965541601181,nl,
nl,40775.xml,0.17804107069969177,nl,
fy,40781.xml,0.17854902148246765,nl,
fy,40767.xml,0.1792762130498886,nl,
de,190208.xml,0.1798350214958191,nl,
fy,40763.xml,0.18244588375091553,nl,
nl,40731.xml,0.18391983211040497,nl,
de,117787.xml,0.1861281394958496,nl,
nl,24552.xml,0.18789853155612946,nl,
nl,117465.xml,0.19118665158748627,nl,
nl,40729.xml,0.1915082037448883,nl,
fy,40712.xml,0.19526709616184235,nl,
nl,40724.xml,0.1972762495279312,nl,
nl,20096.xml,0.19799084961414337,nl,
nl,40750.xml,0.2053428590297699,nl,
nl,40735.xml,0.20628832280635834,nl,
fy,40788.xml,0.21359947323799133,nl,
nl,40715.xml,0.2149699181318283,nl,
nl,40760.xml,0.21705138683319092,nl,
nl,26896.xml,0.21762381494045258,nl,
nl,24551.xml,0.22023186087608337,nl,
nl,40787.xml,0.22062698006629944,nl,
nl,40726.xml,0.22297421097755432,nl,
nl,40746.xml,0.2259402573108673,nl,
nl,40783.xml,0.2267986536026001,nl,
nl,3726.xml,0.22721827030181885,nl,
nl,16807.xml,0.22918640077114105,nl,
af,26736.xml,0.2301136702299118,nl,
fy,40734.xml,0.23171298205852509,nl,
fy,40782.xml,0.23230460286140442,nl,
nl,36914.xml,0.23340308666229248,nl,
nl,36690.xml,0.2341218739748001,nl,
nl,26752.xml,0.2381199449300766,nl,
de,190158.xml,0.24099987745285034,nl,
de,25067.xml,0.24170996248722076,nl,
fy,175270.xml,0.24208621680736542,nl,
nl,40740.xml,0.24550460278987885,nl,
nl,40741.xml,0.24619846045970917,nl,
nl,24547.xml,0.24666385352611542,nl,
nl,112901.xml,0.24666862189769745,nl,
de,26914.xml,0.2482382357120514,nl,
nl,24556.xml,0.24852833151817322,nl,
fr,8690.xml,0.2501981854438782,nl,et un peu de fr
de,190168.xml,0.2519650459289551,nl,
en,24566.xml,0.2523849308490753,nl,
af,24523.xml,0.2532770037651062,nl,
nl,40766.xml,0.25344252586364746,nl,
fy,40736.xml,0.25426530838012695,nl,
nl,40713.xml,0.2576654255390167,nl,
nl,18713.xml,0.2576824426651001,nl,
nl,26734.xml,0.25768929719924927,nl,
nl,8887.xml,0.2582445442676544,nl,
nl,24565.xml,0.25871652364730835,nl,
nl,6819.xml,0.2616302967071533,nl,
nl,40793.xml,0.2618141770362854,nl,
fr,10299.xml,0.262253999710083,nl,et un peu de fr
nl,122429.xml,0.26496225595474243,nl,
nl,40721.xml,0.2656018137931824,nl,
nl,190200.xml,0.26631543040275574,nl,
nl,26744.xml,0.2664268910884857,nl,
nl,23536.xml,0.26773858070373535,nl,
af,24511.xml,0.2677777409553528,nl,
la,188372.xml,0.2688833773136139,la,
